,_id,Datetime,Tweet Id,Text,Username
10,641e939aaf9b5844fe895a65,1678823203000,1635729190174752769,"@SupriyaShrinate Hindenberg’s major investment was with First Republic Bank.
70% of their investments are washed away. More than they made by short selling of Adani Stocks.
This is KARMA 😇😇😂",BistRatansingh
11,641e939aaf9b5844fe895a66,1678820739000,1635718851827732481,@arunpudur HINDENBERG research trying to pull down India/ Adani group but unfortunately he failed to research on SVB in his own country.,GahlotAjendra
12,641e939aaf9b5844fe895a67,1678820549000,1635718055102644239,@HindenburgRes @BillAckman @majorgauravarya @sushantsareen  @vaibhavUP65 what abt the  Hindenberg.   Your views on down below report two days before SVB run in the bank. What abt SVB jokers in your backyard. Hey hindenberg is lost in the woods https://t.co/9Fxv1DZSbi,sauravchopra
13,641e939aaf9b5844fe895a68,1678820369000,1635717301663039505,@sandy190690 @Brijesh80878704 @shahtwitting @news24tvchannel Aur ye chalaki hota hain par illegal nahi...thik jaise Hindenberg apne aapko chalak samajhta hai aur waha U.S mein nak ke neeche se dusra sabse bada bank disaster hogya...2 banks dub Gaye...upar se FTX ka scam bhi hua tha....,Dcggd10
14,641e939aaf9b5844fe895a69,1678819549000,1635713861767528460,Hindenberg was not able to see the proble of #SVBCollapse but able to get sense of issues in #AdaniScam .... what an selective approach,dilip_d_vyas
15,641e939aaf9b5844fe895a6a,1678818408000,1635709075915669512,"Hindenberg disapproved of Hitler's treatment of the Jews
https://t.co/EOhCPuL3GP",ShylockCorbyn
16,641e939aaf9b5844fe895a6b,1678817602000,1635705694489055233,"@Sidd_hesh6360 What about Silicon Valley Bank, i think Hindenberg forgot to shorten the position in his own countries index🤣🤣🤣. #AdaniScam",Abhishe46486888
17,641e939aaf9b5844fe895a6c,1678817431000,1635704978617823233,"@BellamSwathi @drthomasisaac Is this ranking given by 'Reporters Without Freedom from their masters'
We saw credibility of FORBES,the reality of Hindenberg ,in the last few months !!
Thanks to international media",dr_MNY
18,641e939aaf9b5844fe895a6d,1678816903000,1635702763794624512,"@rishibagree Plz someone tag the Hindenberg Research,so called American economist residing in india, n all the left liberal intellectuals..
This is some gold level stuff..",Crazy4FLICKshot
19,641e939aaf9b5844fe895a6e,1678816693000,1635701884580401152,"@guppystweet might be attack in indian enterprenuers like adani hindenberg, great nationalist and humble personalofied!",IsaacAnand1
20,641e939aaf9b5844fe895a6f,1678816611000,1635701538428694533,"@mymindvoice https://t.co/g92mCY2fxv

Soon they will turn this into attack against India, just like they did with Hindenberg Research on Adani.",mbsentinal
21,641e939aaf9b5844fe895a70,1678816383000,1635700584056487940,"I was telling 2 friends that we really don't joke about the Hindenburg enough considering it was such a big scary incident but everyone was okay. Why not laugh about it? 

That's how I found out that people died in the Hindenberg. 😬 #IWasTodayYearsOld",racheal_sue
22,641e939aaf9b5844fe895a71,1678815099000,1635695198868242433,"@funnydrugs Ullu k pathhe tumhara Kam hindenberg aur cambridge me  dikha ....kuch bhi kar le lekin bharat desh aur desh vaasiyon ko andhere me nahi rakh sakega, tumhara bhanda fod ho chuka hai, ab tumhara number aayega",BidushGiri
23,641e939aaf9b5844fe895a72,1678813691000,1635689293384667138,"@MahuaMoitra @INCIndia @RahulGandhi deaf dumb and blind on Hindenberg over SVB, the dirt does stands ling, your efforts to destabilize india defame india will not work.",RakeshThaker2
